#0) name												
#1) HI mass												
#2) Uncertainty in %												
#3) metallicity 12 + log(O/H)												
#4) H2mass,MW CO												
#5) H2mass, Z dependent CO												
#6) atomic weight												
#7) log Dust mass (graphite)												
#8) Uncertainty in %												
#9) log Dust mass (anorphous carbon)												
#10) log Stellar mass												
#11) SFR
#12) Hubble type
#13) Category: 1)E	2)S0	3)Sa-Sab	4)Sb-Sc		5)Scd-Sdm	6)Sm-Irr	7)WR	8)BCD	
#14) log(B/D) based on Graham et al. (2008)
						
NGC0337	3.34E+09	11.97	8.18	-6.98E+08	-7.31E+09	1.38	7.28	8.14	6.87	10.11	1.3	SBd	5	-1.06
NGC0584	1.58E+08	35.92	8.43	-4.78E+08	-1.58E+09	1.39	0	0.00	0	10.87	0.00	E4	1	-0.54
NGC0628	3.72E+09	16.08	8.35	8.71E+08	4.17E+09	1.38	7.46	12.42	7.08	10.29	0.68	SAc	4	-1.06
NGC0855	1.32E+08	29.47	8.29	-8.91E+07	-5.62E+08	1.38	6.18	22.90	5.76	9.2	0.00	E	1	-0.54
NGC0925	4.56E+09	16.08	8.25	6.14E+08	4.66E+09	1.38	7.89	14.44	7.49	9.97	0.54	SABd	5	-1.06
NGC1097	7.56E+09	16.08	8.47	1.67E+08	4.59E+08	1.39	7.93	8.05	7.54	11	4.17	SBb	4	-0.6
NGC1266	0	0	8.29	1.33E+09	8.39E+09	1.38	6.92	7.27	6.55	10.18	0.0	SB0	2	-0.31
NGC1291	1.78E+09	16.08	8.52	0	0	1.39	7.29	15.67	6.86	11.02	0.35	SBa	3	-0.34
NGC1316	-4.73E+08	0	8.77	0	0	1.4	0	10.99	0	11.68	0.0	SAB0	2	-0.31
NGC1377	0	0	8.29	0	0	1.38	6.53	10.67	6.03	9.47	1.86	S0	2	-0.31
NGC1404	0	0	8.54	0	0	1.39	0	0.00	0	11.15	0.0	E1	1	-0.54
IC0342	9.49E+09	16.08	8.46	1.60E+09	4.60E+09	1.39	7.6	7.34	7.23	10.91	1.87 SAB(rs)cd	5	-1.23
NGC1482	-8.01E+08	0	8.11	3.11E+09	4.49E+10	1.38	7.4	7.91	7.01	10.55	3.57	SA0	2	-0.31
NGC1512	7.33E+09	16.08	8.56	0	0	1.39	7.73	27.99	7.26	10.36	0.36	SBab	3	-0.54
NGC2146	3.89E+09	22.1	8.68	7.77E+10	8.13E+10	1.4	7.65	8.23	7.26	10.94	7.94	SB(s)abpec	3	-0.54
HoII	4.21E+08	23.95	7.72	5.18E+06	2.85E+08	1.37	4.92	7.90	4.52	8.23	0.036	Im	6	-1.39
O053	6.16E+07	16.08	7.6	7.60E+05	4.17E+07	1.37	4.04	13.38	3.67	7.24	0.006	Im	6	-1.39
NGC2798	2.13E+09	16.08	8.34	3.21E+09	1.61E+10	1.38	7.11	6.86	6.73	10.36	3.38	SBa	3	-0.34
NGC2841	8.63E+09	16.08	8.54	2.92E+09	5.82E+09	1.39	7.78	9.11	7.42	11.08	2.45	SAb	4	-0.6
NGC2915	3.52E+08	16.08	7.94	4.34E+06	2.39E+08	1.38	5.66	21.07	5.28	8.49	0.02	I0	6	-1.39
HoI	1.45E+08	16.08	7.61	1.79E+06	9.85E+07	1.37	5.44	8.27	5.15	7.84	0.004	IABm	6	-1.39
NGC2976	1.27E+08	16.08	8.36	5.81E+07	2.66E+08	1.38	6.33	9.07	5.95	9.32	0.082	SAc	4	-1.06
NGC3049	1.21E+09	16.08	8.53	1.80E+08	3.75E+08	1.39	7.17	20.60	6.76	9.71	0.61	SBab	3	-0.54
NGC3077	8.71E+08	16.08	8.52	3.80E+06	8.32E+06	1.39	6.55	15.35	5.78	9.46	0.094	I0pec	6	-1.39
M81wB	1.16E+07	16.08	7.84	1.43E+05	7.85E+06	1.37	5.03	63.98	4.66	7.24	0.001	Im	6	-1.39
NGC3190	4.27E+08	36.84	8.49	-3.93E+08	-9.87E+08	1.39	7.25	11.09	6.89	10.74	0.38	SAap	3	-0.34
NGC3184	3.37E+09	16.08	8.51	1.19E+09	2.73E+09	1.39	7.58	12.82	7.25	10.49	0.66	SABcd	5	-1.23
NGC3198	6.85E+09	26.71	8.34	1.30E+09	6.53E+09	1.38	7.96	13.32	7.26	10.35	1.01	SBc	4	-1.06
IC2574	1.32E+09	16.08	7.85	3.16E+06	1.51E+08	1.37	6.54	47.44	6.06	8.99	0.057	SABm	6	-1.57
NGC3265	1.75E+08	38.68	8.27	-4.39E+08	-3.04E+09	1.38	6.42	11.68	5.99	9.55	0.38	E	1	-0.54
