#DTG - Metallicity from Popping et al 2016
#each pair of data is at z=0 - z=7
#Odd column = 12 + log(O/H)
#Even column = DTG
#[1]	[2]		[3]		[4]		[5]		[6]		[7]		[8]		[9]		[10]	[11]	[12]	[13]	[14]	[15]	[16]
6.994	-4.441	7.004	-4.763	6.963	-4.753	6.972	-4.770	6.987	-4.840	6.998	-4.808	6.983	-4.799	6.976	-4.850
7.313	-4.217	7.471	-4.261	7.437	-4.263	7.496	-4.316	7.700	-4.146	7.224	-4.572	7.274	-4.544	7.254	-4.553
7.632	-3.967	8.008	-3.741	7.960	-3.843	7.948	-3.910	7.907	-3.924	7.439	-4.370	7.669	-4.253	7.479	-4.334	
7.869	-3.639	8.307	-3.353	8.284	-3.390	8.138	-3.632	8.184	-3.479	7.738	-4.110	7.947	-3.925	7.900	-3.946
8.155	-3.328	8.435	-3.047	8.627	-2.669	8.288	-3.245	8.325	-3.032	7.949	-3.918	8.119	-3.450	8.068	-3.546
8.345	-2.968	8.557	-2.750	8.868	-2.576	8.478	-2.901	8.446	-3.013	8.153	-3.465	8.236	-3.136	8.189	-3.134
8.621	-2.606	8.744	-2.540	9.002	-2.484	8.569	-2.854	8.855	-2.532	8.261	-3.211	8.561	-2.699	8.532	-2.665
8.864	-2.379	9.076	-2.341	9.077	-2.447	8.868	-2.585	9.016	-2.333	8.597	-2.748	8.745	-2.490	8.740	-2.477
9.198	-2.247	9.292	-2.061	9.162	-2.232	9.178	-2.278	9.165	-2.242	9.022	-2.325	8.990	-2.334	8.952	-2.281
9.417	-2.137	9.425	-2.117	9.406	-2.171	9.332	-2.247	9.267	-2.123	9.097	-2.313	9.078	-2.226	9.089	-2.300
