#    Z       m        H              D           He3            He4          C12         C13P          N14P         O16               Mrem     C13           N14
  0.0000    0.80   -0.122E-01   -0.192E-04   -0.116E-04    0.158E-01    0.276E-03    0.000E+00    0.000E+00     0.721E-04          0.48    0.000E+00    0.741E-05
  0.0000    0.90   -0.177E-01   -0.213E-04   -0.129E-04    0.133E-01    0.105E-04    0.000E+00    0.000E+00     0.322E-04          0.50    0.000E+00    0.519E-05
  0.0000    1.00   -0.146E-01   -0.226E-04   -0.136E-04    0.146E-01    0.000E+00    0.000E+00    0.000E+00     0.000E+00          0.53    0.000E+00    0.347E-05
  0.0000    1.30   -0.267E-01   -0.258E-04   -0.156E-04    0.228E-01    0.318E-02    0.000E+00    0.000E+00     0.298E-03          0.60    0.000E+00    0.313E-05
  0.0000    1.50   -0.267E-01   -0.282E-04   -0.170E-04    0.207E-01    0.355E-02    0.000E+00    0.000E+00     0.293E-03          0.62    0.000E+00    0.000E+00
  0.0000    1.70   -0.232E-01   -0.294E-04   -0.177E-04    0.191E-01    0.340E-02    0.000E+00    0.000E+00     0.281E-03          0.66    0.000E+00    0.000E+00
  0.0000    2.00   -0.281E-01   -0.312E-04   -0.189E-04    0.231E-01    0.453E-02    0.000E+00    0.000E+00     0.394E-03          0.70    0.000E+00    0.000E+00
  0.0000    2.50   -0.207E-01   -0.332E-04   -0.201E-04    0.143E-01    0.464E-02    0.000E+00    0.000E+00     0.420E-03          0.77    0.000E+00    0.000E+00
  0.0000    3.00   -0.175E-01   -0.341E-04   -0.206E-04    0.920E-02    0.383E-02    0.000E+00    0.000E+00     0.357E-03          0.87    0.000E+00    0.000E+00
  0.0000    3.50   -0.189E-01   -0.357E-04   -0.215E-04    0.155E-01    0.251E-02    0.117E-03    0.273E-02     0.423E-03          0.90    0.000E+00    0.000E+00
  0.0000    4.00   -0.262E-01   -0.371E-04   -0.224E-04    0.202E-01    0.117E-02    0.208E-03    0.480E-02     0.483E-03          0.91    0.000E+00    0.000E+00
  0.0000    4.50   -0.594E+00   -0.379E-04   -0.229E-04    0.218E-01    0.922E-03    0.115E-03    0.582E-02     0.473E-03          0.95    0.000E+00    0.104E-05
  0.0000    5.00   -0.309E-01   -0.386E-04   -0.233E-04    0.229E-01    0.676E-03    0.408E-04    0.662E-02     0.462E-03          0.98    0.000E+00    0.320E-05
  0.0000    6.00   -0.374E-01   -0.396E-04   -0.239E-04    0.291E-01    0.763E-03    0.640E-04    0.785E-02     0.315E-03          1.05    0.000E+00    0.900E-05
  0.0000    7.00   -0.438E-01   -0.403E-04   -0.243E-04    0.324E-01    0.850E-03    0.807E-04    0.871E-02     0.169E-03          1.13    0.000E+00    0.132E-04
  0.0000    8.00   -0.368E-01   -0.358E-04   -0.216E-04    0.280E-01    0.679E-03    0.938E-04    0.937E-02     0.186E-03          2.04    0.000E+00    0.000E+00
  0.0001    0.80   -0.146E-01   -0.192E-04   -0.116E-04    0.149E-01    0.246E-03    0.000E+00    0.000E+00     0.645E-04          0.48   -0.566E-07    0.665E-05
  0.0001    0.90   -0.115E-01   -0.208E-04   -0.126E-04    0.160E-01    0.739E-05    0.000E+00    0.000E+00     0.295E-04          0.51   -0.613E-07    0.484E-05
  0.0001    1.00   -0.155E-01   -0.226E-04   -0.136E-04    0.136E-01   -0.705E-05    0.000E+00    0.000E+00    -0.421E-05          0.53   -0.665E-07    0.334E-05
  0.0001    1.30   -0.273E-01   -0.258E-04   -0.156E-04    0.228E-01    0.315E-02    0.000E+00    0.000E+00     0.294E-03          0.60   -0.762E-07    0.307E-05
  0.0001    1.50   -0.259E-01   -0.282E-04   -0.170E-04    0.213E-01    0.351E-02    0.000E+00    0.000E+00     0.294E-03          0.62   -0.830E-07   -0.323E-05
  0.0001    1.70   -0.225E-01   -0.294E-04   -0.177E-04    0.196E-01    0.340E-02    0.000E+00    0.000E+00     0.285E-03          0.66   -0.866E-07   -0.336E-05
  0.0001    2.00   -0.274E-01   -0.312E-04   -0.189E-04    0.235E-01    0.454E-02    0.000E+00    0.000E+00     0.396E-03          0.70   -0.920E-07   -0.266E-05
  0.0001    2.50   -0.205E-01   -0.332E-04   -0.201E-04    0.150E-01    0.467E-02    0.000E+00    0.000E+00     0.422E-03          0.77   -0.979E-07   -0.325E-05
  0.0001    3.00   -0.140E-01   -0.341E-04   -0.206E-04    0.101E-01    0.392E-02    0.000E+00    0.000E+00     0.366E-03          0.87   -0.100E-06   -0.391E-05
  0.0001    3.50   -0.209E-01   -0.358E-04   -0.216E-04    0.153E-01    0.255E-02    0.118E-03    0.273E-02     0.425E-03          0.89   -0.915E-07   -0.313E-05
  0.0001    4.00   -0.260E-01   -0.371E-04   -0.224E-04    0.201E-01    0.117E-02    0.210E-03    0.480E-02     0.479E-03          0.91   -0.388E-07   -0.132E-05
  0.0001    4.50   -0.593E+00   -0.379E-04   -0.229E-04    0.219E-01    0.915E-03    0.117E-03    0.582E-02     0.471E-03          0.95   -0.863E-07    0.119E-05
  0.0001    5.00   -0.307E-01   -0.386E-04   -0.233E-04    0.228E-01    0.666E-03    0.420E-04    0.660E-02     0.459E-03          0.98   -0.114E-06    0.314E-05
  0.0001    6.00   -0.372E-01   -0.396E-04   -0.239E-04    0.289E-01    0.753E-03    0.652E-04    0.783E-02     0.310E-03          1.05   -0.117E-06    0.895E-05
  0.0001    7.00   -0.436E-01   -0.403E-04   -0.243E-04    0.323E-01    0.839E-03    0.817E-04    0.871E-02     0.160E-03          1.13   -0.119E-06    0.132E-04
  0.0001    8.00   -0.372E-01   -0.359E-04   -0.217E-04    0.273E-01    0.673E-03    0.947E-04    0.937E-02     0.180E-03          2.02   -0.106E-06   -0.411E-05
  0.0004    0.80   -0.112E-01   -0.186E-04   -0.112E-04    0.153E-01    0.159E-03    0.000E+00    0.000E+00     0.441E-04          0.49   -0.219E-06    0.460E-05
  0.0004    0.90   -0.145E-01   -0.208E-04   -0.126E-04    0.136E-01   -0.189E-05    0.000E+00    0.000E+00     0.212E-04          0.51   -0.245E-06    0.380E-05
  0.0004    1.00   -0.182E-01   -0.226E-04   -0.136E-04    0.134E-01   -0.282E-04    0.000E+00    0.000E+00    -0.840E-06          0.53   -0.266E-06    0.296E-05
  0.0004    1.30   -0.285E-01   -0.258E-04   -0.156E-04    0.218E-01    0.303E-02    0.000E+00    0.000E+00     0.283E-03          0.60   -0.305E-06    0.292E-05
  0.0004    1.50   -0.235E-01   -0.282E-04   -0.170E-04    0.217E-01    0.342E-02    0.000E+00    0.000E+00     0.296E-03          0.62   -0.300E-06   -0.151E-05
  0.0004    1.70   -0.241E-01   -0.296E-04   -0.179E-04    0.191E-01    0.342E-02    0.000E+00    0.000E+00     0.297E-03          0.65   -0.696E-07   -0.229E-05
  0.0004    2.00   -0.297E-01   -0.314E-04   -0.190E-04    0.235E-01    0.457E-02    0.000E+00    0.000E+00     0.402E-03          0.69   -0.767E-07   -0.810E-06
  0.0004    2.50   -0.230E-01   -0.334E-04   -0.202E-04    0.161E-01    0.480E-02    0.000E+00    0.000E+00     0.432E-03          0.76   -0.168E-06   -0.107E-05
  0.0004    3.00   -0.185E-01   -0.344E-04   -0.208E-04    0.115E-01    0.419E-02    0.000E+00    0.827E-05     0.390E-03          0.85   -0.107E-06   -0.263E-05
  0.0004    3.50   -0.204E-01   -0.358E-04   -0.216E-04    0.167E-01    0.267E-02    0.121E-03    0.273E-02     0.432E-03          0.89   -0.849E-07   -0.109E-05
  0.0004    4.00   -0.280E-01   -0.371E-04   -0.224E-04    0.203E-01    0.114E-02    0.215E-03    0.477E-02     0.470E-03          0.91   -0.697E-07   -0.450E-07
  0.0004    4.50   -0.593E+00   -0.379E-04   -0.229E-04    0.220E-01    0.890E-03    0.121E-03    0.580E-02     0.462E-03          0.95   -0.821E-07    0.167E-05
  0.0004    5.00   -0.302E-01   -0.386E-04   -0.233E-04    0.245E-01    0.640E-03    0.456E-04    0.660E-02     0.450E-03          0.98   -0.911E-07    0.291E-05
