#    Z       m        H              D           He3            He4          C12         C13P          N14P          O16            Mrem     C13           N14
  0.0000    0.82    0.731E-02   -0.123E-04    0.532E-03   -0.239E-03    0.000E+00    0.000E+00    0.000E+00      0.000E+00       0.61    0.000E+00    0.000E+00
  0.0000    0.90   -0.297E-02   -0.149E-04    0.425E-03   -0.314E-02    0.000E+00    0.000E+00    0.000E+00      0.000E+00       0.62    0.000E+00    0.000E+00
  0.0000    0.98    0.223E-02   -0.167E-04    0.480E-03   -0.213E-02    0.000E+00    0.000E+00    0.000E+00      0.000E+00       0.64    0.000E+00    0.000E+00
  0.0000    1.08    0.418E-02   -0.182E-04    0.428E-03   -0.140E-02    0.000E+00    0.000E+00    0.000E+00      0.000E+00       0.67    0.000E+00    0.000E+00
  0.0000    1.18   -0.864E-02   -0.203E-04    0.305E-03    0.864E-02    0.385E-02    0.000E+00    0.000E+00      0.241E-03       0.68    0.000E+00    0.000E+00
  0.0000    1.29   -0.667E-01   -0.234E-04    0.325E-03    0.488E-01    0.213E-01    0.000E+00    0.000E+00      0.174E-02       0.66    0.000E+00    0.000E+00
  0.0000    1.42   -0.110E+00   -0.254E-04    0.252E-03    0.720E-01    0.325E-01    0.000E+00    0.000E+00      0.266E-02       0.67    0.000E+00    0.000E+00
  0.0000    1.55   -0.130E+00   -0.263E-04    0.202E-03    0.887E-01    0.391E-01    0.000E+00    0.000E+00      0.323E-02       0.70    0.000E+00    0.000E+00
  0.0000    1.70   -0.158E+00   -0.268E-04    0.111E-03    0.109E+00    0.478E-01    0.000E+00    0.000E+00      0.396E-02       0.75    0.000E+00    0.000E+00
  0.0000    1.86   -0.179E+00   -0.279E-04    0.108E-03    0.121E+00    0.531E-01    0.000E+00    0.000E+00      0.444E-02       0.78    0.000E+00    0.000E+00
  0.0000    2.04   -0.191E+00   -0.287E-04    0.871E-04    0.128E+00    0.569E-01    0.000E+00    0.000E+00      0.474E-02       0.82    0.000E+00    0.000E+00
  0.0000    2.23   -0.184E+00   -0.297E-04    0.758E-04    0.127E+00    0.552E-01    0.000E+00    0.000E+00      0.466E-02       0.85    0.000E+00    0.000E+00
  0.0000    2.45   -0.170E+00   -0.313E-04    0.717E-04    0.114E+00    0.498E-01    0.000E+00    0.000E+00      0.420E-02       0.85    0.000E+00    0.000E+00
  0.0000    2.68   -0.147E+00   -0.315E-04    0.653E-04    0.100E+00    0.437E-01    0.000E+00    0.000E+00      0.372E-02       0.92    0.000E+00    0.000E+00
  0.0000    2.94   -0.130E+00   -0.315E-04    0.582E-04    0.847E-01    0.374E-01    0.000E+00    0.000E+00      0.323E-02       1.01    0.000E+00    0.000E+00
