#    Z       m        H              D           He3            He4          C12         C13P          N14P           O16             Mrem     C13           N14
  0.0000    0.80   -0.314E-01   -0.150E-04   -0.906E-05   -0.159E-01    0.650E-03    0.000E+00    0.000E+00       0.000E+00        0.55    0.000E+00    0.000E+00
  0.0000    0.90   -0.242E-01   -0.181E-04   -0.110E-04   -0.787E-02    0.262E-03    0.000E+00    0.000E+00       0.000E+00        0.56    0.000E+00    0.000E+00
  0.0000    1.00   -0.175E-01   -0.206E-04   -0.125E-04   -0.147E-02    0.000E+00    0.000E+00    0.000E+00       0.000E+00        0.57    0.000E+00    0.000E+00
  0.0000    1.10   -0.211E-01   -0.227E-04   -0.137E-04   -0.341E-02    0.000E+00    0.000E+00    0.000E+00       0.000E+00        0.58    0.000E+00    0.000E+00
  0.0000    1.20   -0.175E-01   -0.244E-04   -0.147E-04   -0.863E-03    0.000E+00    0.000E+00    0.000E+00       0.000E+00        0.59    0.000E+00    0.000E+00
  0.0000    1.30   -0.213E-01   -0.258E-04   -0.156E-04   -0.640E-02    0.000E+00    0.000E+00    0.000E+00       0.000E+00        0.60    0.000E+00    0.000E+00
  0.0000    1.40   -0.163E-01   -0.267E-04   -0.162E-04   -0.366E-02    0.000E+00    0.000E+00    0.000E+00       0.000E+00        0.62    0.000E+00    0.000E+00
  0.0000    1.50   -0.197E-01   -0.278E-04   -0.168E-04   -0.361E-02    0.000E+00    0.000E+00    0.000E+00       0.000E+00        0.63    0.000E+00    0.000E+00
  0.0000    1.60   -0.202E-01   -0.288E-04   -0.174E-04   -0.106E-02    0.251E-02    0.000E+00    0.000E+00       0.000E+00        0.64    0.000E+00    0.000E+00
  0.0000    1.70   -0.182E-01   -0.296E-04   -0.179E-04    0.707E-02    0.454E-02    0.000E+00    0.000E+00       0.000E+00        0.65    0.000E+00    0.000E+00
  0.0000    1.80   -0.196E-01   -0.307E-04   -0.185E-04    0.903E-02    0.611E-02    0.000E+00    0.000E+00       0.000E+00        0.65    0.000E+00    0.000E+00
  0.0000    1.90   -0.284E-01   -0.313E-04   -0.189E-04    0.158E-01    0.926E-02    0.000E+00    0.000E+00       0.000E+00        0.66    0.000E+00    0.000E+00
  0.0000    2.00   -0.261E-01   -0.322E-04   -0.194E-04    0.136E-01    0.945E-02    0.000E+00    0.000E+00       0.000E+00        0.66    0.000E+00    0.000E+00
  0.0000    2.10   -0.266E-01   -0.327E-04   -0.197E-04    0.109E-01    0.833E-02    0.000E+00    0.000E+00       0.000E+00        0.67    0.000E+00    0.000E+00
  0.0000    2.20   -0.198E-01   -0.332E-04   -0.200E-04    0.802E-02    0.755E-02    0.000E+00    0.000E+00       0.365E-04        0.68    0.000E+00    0.000E+00
  0.0000    2.30   -0.267E-01   -0.336E-04   -0.203E-04    0.106E-01    0.930E-02    0.000E+00    0.000E+00       0.761E-05        0.69    0.000E+00    0.000E+00
  0.0000    2.40   -0.163E-01   -0.340E-04   -0.205E-04    0.117E-01    0.103E-01    0.000E+00    0.000E+00       0.146E-04        0.70    0.000E+00    0.000E+00
  0.0000    2.50   -0.387E-01   -0.344E-04   -0.208E-04    0.199E-01    0.153E-01    0.000E+00    0.000E+00       0.000E+00        0.71    0.000E+00    0.000E+00
  0.0000    2.60   -0.296E-01   -0.345E-04   -0.209E-04    0.807E-02    0.103E-01    0.000E+00    0.000E+00       0.000E+00        0.73    0.000E+00    0.000E+00
  0.0000    2.70   -0.277E-01   -0.348E-04   -0.211E-04   -0.850E-03    0.733E-02    0.000E+00    0.000E+00       0.000E+00        0.74    0.000E+00    0.000E+00
  0.0000    2.80   -0.267E-01   -0.350E-04   -0.211E-04   -0.861E-02    0.457E-02    0.000E+00    0.000E+00       0.119E-04        0.76    0.000E+00    0.000E+00
  0.0000    2.90   -0.250E-01   -0.353E-04   -0.213E-04   -0.163E-01    0.198E-02    0.000E+00    0.000E+00       0.300E-04        0.77    0.000E+00    0.000E+00
