#    Z       m        H              D           He3            He4          C12         C13P          N14P           O16            Mrem     C13           N14
  0.0000    1.00   -0.267E-02   -0.134E-04    0.641E-04   -0.528E-03    0.257E-03    0.687E-07    0.223E-05       0.636E-05       0.72    0.000E+00    0.000E+00
  0.0000    1.25   -0.155E-01   -0.223E-04    0.921E-04    0.131E-01    0.305E-02    0.258E-06    0.137E-04       0.770E-04       0.67    0.000E+00    0.000E+00
  0.0000    1.50   -0.307E-01   -0.269E-04    0.944E-04    0.207E-01    0.787E-02    0.437E-06    0.237E-04       0.187E-03       0.66    0.000E+00    0.000E+00
  0.0000    1.75   -0.566E-01   -0.299E-04    0.865E-04    0.389E-01    0.134E-01    0.520E-06    0.267E-04       0.247E-03       0.66    0.000E+00    0.000E+00
  0.0000    1.90   -0.642E-01   -0.308E-04    0.798E-04    0.452E-01    0.159E-01    0.611E-06    0.297E-04       0.255E-03       0.68    0.000E+00    0.000E+00
  0.0000    2.00   -0.743E-01   -0.314E-04    0.795E-04    0.543E-01    0.181E-01    0.590E-06    0.313E-04       0.259E-03       0.69    0.000E+00    0.000E+00
  0.0000    2.25   -0.861E-01   -0.329E-04    0.846E-04    0.581E-01    0.218E-01    0.662E-06    0.280E-04       0.284E-03       0.71    0.000E+00    0.000E+00
  0.0000    2.50   -0.687E-01   -0.340E-04    0.775E-04    0.455E-01    0.198E-01    0.560E-05    0.252E-04       0.282E-03       0.73    0.000E+00    0.000E+00
  0.0000    3.00   -0.226E-01   -0.350E-04    0.525E-04    0.113E-01    0.770E-02    0.144E-03    0.200E-04       0.141E-03       0.81    0.000E+00    0.000E+00
  0.0000    3.50   -0.297E-01   -0.363E-04   -0.157E-04    0.197E-01    0.184E-02    0.175E-03    0.526E-02       0.131E-03       0.85    0.000E+00    0.000E+00
  0.0000    4.00   -0.463E-01   -0.376E-04   -0.210E-04    0.368E-01    0.124E-02    0.100E-03    0.660E-02       0.166E-03       0.87    0.000E+00    0.000E+00
  0.0000    4.50   -0.508E-01   -0.384E-04   -0.220E-04    0.441E-01    0.767E-03    0.764E-04    0.489E-02       0.113E-03       0.90    0.000E+00    0.000E+00
  0.0000    5.00   -0.605E-01   -0.391E-04   -0.231E-04    0.545E-01    0.546E-03    0.794E-04    0.464E-02       0.988E-04       0.93    0.000E+00    0.000E+00
  0.0000    5.50   -0.670E-01   -0.395E-04   -0.236E-04    0.615E-01    0.455E-03    0.724E-04    0.498E-02       0.840E-04       0.97    0.000E+00    0.000E+00
  0.0000    6.00   -0.774E-01   -0.399E-04   -0.239E-04    0.724E-01    0.312E-03    0.635E-04    0.557E-02       0.133E-03       1.01    0.000E+00    0.000E+00
  0.0001    1.00   -0.604E-03   -0.134E-04    0.653E-04    0.332E-03    0.251E-03    0.000E+00    0.000E+00       0.128E-04       0.72    0.208E-06    0.403E-05
  0.0001    1.25   -0.146E-01   -0.223E-04    0.929E-04    0.130E-01    0.298E-02    0.000E+00    0.000E+00       0.784E-04       0.67    0.406E-06    0.158E-04
  0.0001    1.50   -0.299E-01   -0.269E-04    0.964E-04    0.206E-01    0.772E-02    0.000E+00    0.000E+00       0.187E-03       0.66    0.621E-06    0.266E-04
  0.0001    1.75   -0.553E-01   -0.299E-04    0.882E-04    0.383E-01    0.132E-01    0.000E+00    0.000E+00       0.246E-03       0.66    0.689E-06    0.306E-04
  0.0001    1.90   -0.630E-01   -0.308E-04    0.814E-04    0.446E-01    0.156E-01    0.000E+00    0.000E+00       0.255E-03       0.68    0.778E-06    0.338E-04
