#    Z       m        H              D           He3            He4          C12           O16            Ne20       Mg24          Si28        S32           Ca40         Fe56         Mrem     C13s           N14s
  0.0000   11.00   -0.116E+00   -0.419E-04   -0.241E-04    0.124E+00    0.160E-02       0.000E+00    0.000E+00    0.000E+00    0.146E-02    0.249E-03    0.000E+00    0.286E-06      1.40    0.146E-04    0.181E-06
  0.0000   12.00   -0.138E+00   -0.428E-04   -0.249E-04    0.119E+00    0.358E-02       0.556E-02    0.213E-03    0.320E-03    0.208E-02    0.710E-03    0.118E-03    0.238E-06      1.30    0.697E-05    0.182E-06
  0.0000   13.00   -0.158E+00   -0.436E-04   -0.256E-04    0.115E+00    0.526E-02       0.105E-01    0.234E-02    0.115E-02    0.259E-02    0.110E-02    0.232E-03    0.198E-06      1.20    0.481E-06    0.182E-06
  0.0000   15.00   -0.170E+00   -0.435E-04   -0.256E-04    0.102E+00    0.967E-02       0.267E-01    0.619E-02    0.223E-02    0.454E-02    0.172E-02    0.279E-03    0.287E-06      1.40    0.659E-06    0.242E-06
  0.0000   18.00   -0.123E+00   -0.392E-04   -0.189E-04    0.114E+00    0.611E-02       0.167E-02    0.162E-01    0.328E-02    0.611E-02    0.342E-02    0.700E-03    0.553E-06      3.30    0.894E-06    0.377E-06
  0.0000   19.00   -0.123E+00   -0.388E-04   -0.210E-04    0.116E+00    0.800E-02       0.268E-01    0.188E-01    0.355E-02    0.647E-02    0.386E-02    0.805E-03    0.621E-06      3.65    0.958E-06    0.413E-06
  0.0000   20.00   -0.124E+00   -0.384E-04   -0.228E-04    0.118E+00    0.985E-02       0.402E-01    0.212E-01    0.380E-02    0.685E-02    0.426E-02    0.905E-03    0.685E-06      4.00    0.102E-05    0.444E-06
  0.0000   22.00   -0.241E+00   -0.449E-04   -0.268E-04    0.909E-01    0.126E-01       0.841E-01    0.253E-01    0.423E-02    0.750E-02    0.495E-02    0.108E-02    0.795E-06      1.40    0.111E-05    0.500E-06
  0.0000   25.00   -0.242E+00   -0.445E-04   -0.266E-04    0.830E-01    0.169E-01       0.932E-01    0.204E-01    0.370E-02    0.924E-02    0.424E-02    0.700E-03    0.476E-06      1.80    0.159E-05    0.832E-05
  0.0000   30.00   -0.291E+00   -0.458E-04   -0.274E-04    0.740E-01    0.116E-01       0.145E+00    0.347E-01    0.817E-02    0.410E-02    0.152E-02    0.583E-03    0.160E-06      1.40    0.377E-05    0.118E-03
  0.0000   35.00   -0.307E+00   -0.457E-04   -0.274E-04    0.673E-01    0.115E-01       0.159E+00    0.349E-01    0.671E-02    0.597E-02    0.256E-02    0.500E-03    0.571E-06      1.70    0.731E-06    0.219E-06
  0.0000   40.00   -0.339E+00   -0.458E-04   -0.275E-04    0.635E-01    0.120E-01       0.181E+00    0.395E-01    0.568E-02    0.855E-07    0.405E-03    0.770E-03    0.161E-06      1.80    0.410E-06    0.170E-06
  0.0000   60.00   -0.411E+00   -0.462E-04   -0.278E-04    0.548E-01    0.132E-01       0.233E+00    0.503E-01    0.325E-02    0.146E-07    0.753E-04    0.140E-04    0.000E+00      2.20    0.000E+00    0.000E+00
  0.0000  100.00   -0.470E+00   -0.466E-04   -0.281E-04    0.478E-01    0.142E-01       0.274E+00    0.590E-01    0.131E-02    0.194E-11    0.103E-05    0.190E-05    0.000E+00      3.00    0.000E+00    0.000E+00
  0.0001   11.00   -0.128E+00   -0.426E-04    0.873E-07    0.993E-01    0.497E-02       0.839E-02    0.464E-02    0.466E-03    0.409E-02    0.339E-02    0.858E-03    0.278E-05      1.24    0.312E-06    0.585E-05
  0.0001   12.00   -0.139E+00   -0.426E-04   -0.101E-05    0.106E+00    0.681E-02       0.120E-01    0.275E-02    0.586E-03    0.382E-02    0.258E-02    0.599E-03    0.233E-05      1.34    0.324E-06    0.928E-05
  0.0001   13.00   -0.148E+00   -0.427E-04   -0.194E-05    0.110E+00    0.837E-02       0.150E-01    0.135E-02    0.687E-03    0.360E-02    0.190E-02    0.381E-03    0.194E-05      1.44    0.334E-06    0.121E-04
  0.0001   15.00   -0.167E+00   -0.429E-04   -0.317E-05    0.117E+00    0.972E-02       0.268E-01    0.247E-02    0.129E-02    0.417E-02    0.192E-02    0.361E-03    0.187E-05      1.60    0.524E-06    0.134E-04
  0.0001   18.00   -0.203E+00   -0.437E-04   -0.548E-05    0.118E+00    0.115E-01       0.476E-01    0.108E-01    0.257E-02    0.550E-02    0.259E-02    0.446E-03    0.200E-05      1.60    0.604E-06    0.126E-04
  0.0001   19.00   -0.212E+00   -0.435E-04   -0.579E-05    0.112E+00    0.110E-01       0.636E-01    0.663E-02    0.166E-02    0.900E-02    0.502E-02    0.703E-03    0.199E-05      1.79    0.624E-06    0.124E-04
  0.0001   20.00   -0.221E+00   -0.433E-04   -0.614E-05    0.107E+00    0.106E-01       0.780E-01    0.284E-02    0.827E-03    0.121E-01    0.720E-02    0.933E-03    0.198E-05      1.97    0.642E-06    0.123E-04
  0.0001   22.00   -0.237E+00   -0.436E-04   -0.679E-05    0.114E+00    0.119E-01       0.831E-01    0.243E-02    0.203E-02    0.134E-01    0.713E-02    0.962E-03    0.185E-05      2.02    0.776E-06    0.129E-04
  0.0001   25.00   -0.272E+00   -0.444E-04   -0.811E-05    0.116E+00    0.115E-01       0.112E+00    0.252E-02    0.271E-02    0.149E-01    0.732E-02    0.762E-03    0.199E-05      1.87    0.649E-06    0.136E-04
  0.0001   30.00   -0.305E+00   -0.446E-04   -0.950E-05    0.110E+00    0.108E-01       0.146E+00    0.134E-01    0.893E-02    0.946E-02    0.311E-02    0.558E-03    0.176E-05      2.14    0.499E-06    0.142E-04
  0.0001   35.00   -0.322E+00   -0.443E-04   -0.994E-05    0.112E+00    0.102E-01       0.160E+00    0.252E-01    0.939E-02    0.514E-02    0.202E-02    0.284E-03    0.160E-05      2.73    0.458E-06    0.153E-04
  0.0001   40.00   -0.322E+00   -0.429E-04   -0.987E-05    0.121E+00    0.101E-01       0.155E+00    0.323E-01    0.702E-02    0.778E-03    0.115E-04   -0.164E-05    0.139E-05      4.25    0.411E-06    0.162E-04
  0.0001   60.00   -0.346E+00   -0.412E-04   -0.115E-04    0.872E-01    0.829E-02       0.124E+00    0.360E-01    0.289E-02    0.403E-04    0.000E+00    0.000E+00    0.879E-06      8.47    0.292E-06    0.179E-04
  0.0001  100.00   -0.368E+00   -0.400E-04   -0.130E-04    0.513E-01    0.659E-02       0.969E-01    0.374E-01    0.120E-02    0.000E+00    0.000E+00    0.000E+00    0.472E-06     16.57    0.194E-06    0.193E-04
  0.0004   11.00   -0.122E+00   -0.420E-04    0.670E-05    0.103E+00    0.640E-02       0.658E-02    0.000E+00    0.522E-04    0.186E-02    0.440E-03    0.238E-04    0.239E-05      1.37    0.412E-06    0.165E-05
