#    Z       m        H              D           He3            He4          C12         O16            Ne20       Mg24          Si28        S32           Ca40         Fe56         Mrem     C13s           N14s
  0.0000    9.00   -0.131E+00   -0.408E-04   -0.113E-04    0.807E-01    0.996E-02     0.153E-01    0.974E-03    0.610E-03    0.334E-02    0.147E-02    0.276E-03    0.170E-01      1.35   -0.271E-06    0.877E-05
  0.0000   12.00   -0.176E+00   -0.420E-04   -0.176E-04    0.700E-01    0.142E-01     0.556E-01    0.892E-02    0.233E-02    0.713E-02    0.368E-02    0.669E-03    0.130E-01      1.50   -0.297E-06    0.111E-04
  0.0000   15.00   -0.203E+00   -0.422E-04   -0.203E-04    0.588E-01    0.141E-01     0.947E-01    0.631E-02    0.155E-02    0.134E-01    0.800E-02    0.106E-02    0.618E-02      1.80   -0.111E-06   -0.148E-05
  0.0000   20.00   -0.249E+00   -0.430E-04   -0.234E-04    0.390E-01    0.142E-01     0.152E+00    0.505E-02    0.395E-02    0.168E-01    0.845E-02    0.795E-03    0.765E-02      2.07   -0.378E-06    0.172E-04
  0.0000   30.00   -0.194E+00   -0.368E-04   -0.216E-04    0.493E-01    0.118E-01     0.105E+00    0.209E-01    0.433E-02    0.363E-03    0.193E-05    0.000E+00    0.000E+00      6.98    0.520E-07    0.740E-05
  0.0000   40.00   -0.110E+00   -0.298E-04   -0.177E-04    0.773E-01    0.843E-02     0.170E-01    0.547E-02    0.890E-03    0.000E+00    0.000E+00    0.000E+00    0.000E+00     15.17   -0.200E-06    0.222E-04
  0.0000   60.00   -0.113E+00   -0.283E-04   -0.171E-04    0.905E-01    0.877E-02     0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00     24.57    0.107E-06   -0.122E-04
  0.0000  100.00   -0.234E+00   -0.329E-04   -0.194E-04    0.615E-01    0.757E-02     0.147E+00    0.105E-01    0.756E-02    0.668E-04    0.405E-04    0.613E-05    0.000E+00     31.54    0.142E-05   -0.178E-04
  0.0000  120.00   -0.290E+00   -0.360E-04   -0.214E-04    0.737E-01    0.181E-01     0.178E+00    0.123E-01    0.802E-02    0.000E+00    0.000E+00    0.000E+00    0.000E+00     30.09    0.130E-06   -0.611E-04
  0.0001    9.00   -0.130E+00   -0.408E-04   -0.112E-04    0.805E-01    0.995E-02     0.153E-01    0.992E-03    0.606E-03    0.336E-02    0.149E-02    0.277E-03    0.171E-01      1.35    0.306E-06    0.278E-04
  0.0001   12.00   -0.176E+00   -0.420E-04   -0.176E-04    0.699E-01    0.142E-01     0.556E-01    0.892E-02    0.235E-02    0.715E-02    0.368E-02    0.665E-03    0.130E-01      1.50    0.260E-06    0.302E-04
  0.0001   15.00   -0.204E+00   -0.422E-04   -0.203E-04    0.587E-01    0.141E-01     0.946E-01    0.638E-02    0.161E-02    0.133E-01    0.800E-02    0.105E-02    0.623E-02      1.80    0.389E-06    0.190E-04
