#    Z       m        H              D           He3            He4          C12        O16            Ne20       Mg24          Si28        S32           Ca40         Fe56         Mrem     C13s           N14s
  0.0000   13.00   -0.155E+00   -0.435E-04   -0.239E-04    0.870E-01    0.605E-02    0.123E-01    0.237E-02    0.219E-02    0.356E-02    0.152E-02    0.288E-03    0.702E-02      1.21    0.282E-09    0.285E-08
  0.0000   15.00   -0.161E+00   -0.433E-04   -0.242E-04    0.867E-01    0.927E-02    0.231E-01    0.767E-02    0.332E-02    0.353E-02    0.143E-02    0.255E-03    0.667E-02      1.47    0.340E-10    0.197E-07
  0.0000   20.00   -0.203E+00   -0.440E-04   -0.251E-04    0.861E-01    0.168E-01    0.500E-01    0.111E-01    0.510E-02    0.690E-02    0.307E-02    0.535E-03    0.500E-02      1.67    0.115E-08    0.102E-06
  0.0000   25.00   -0.240E+00   -0.449E-04   -0.260E-04    0.794E-01    0.160E-01    0.812E-01    0.269E-01    0.544E-02    0.460E-02    0.211E-02    0.393E-03    0.400E-02      1.60    0.212E-05    0.210E-02
  0.0000   30.00   -0.260E+00   -0.447E-04   -0.261E-04    0.805E-01    0.239E-01    0.101E+00    0.248E-01    0.593E-02    0.927E-02    0.433E-02    0.770E-03    0.333E-02      2.07    0.343E-05    0.232E-02
  0.0000   35.00   -0.289E+00   -0.452E-04   -0.265E-04    0.725E-01    0.214E-01    0.125E+00    0.309E-01    0.597E-02    0.543E-02    0.262E-02    0.486E-03    0.286E-02      2.03    0.443E-05    0.334E-05
  0.0000  100.00   -0.395E+00   -0.470E-04   -0.282E-04    0.423E-01    0.116E-01    0.219E+00    0.546E-01    0.612E-02    0.000E+00    0.000E+00    0.000E+00    0.100E-02      1.99    0.831E-05    0.117E-05
  0.0001   13.00   -0.157E+00   -0.431E-04   -0.191E-04    0.722E-01    0.837E-02    0.243E-01    0.102E-01    0.393E-02    0.575E-02    0.280E-02    0.466E-03    0.769E-02      1.33    0.209E-06    0.181E-04
  0.0001   15.00   -0.162E+00   -0.427E-04   -0.203E-04    0.748E-01    0.133E-01    0.306E-01    0.283E-02    0.360E-02    0.760E-02    0.326E-02    0.512E-03    0.667E-02      1.65    0.206E-06    0.176E-04
  0.0001   20.00   -0.213E+00   -0.443E-04   -0.232E-04    0.640E-01    0.150E-01    0.685E-01    0.244E-01    0.849E-02    0.555E-02    0.220E-02    0.375E-03    0.500E-02      1.55    0.190E-06    0.158E-04
  0.0001   25.00   -0.240E+00   -0.444E-04   -0.243E-04    0.563E-01    0.217E-01    0.952E-01    0.271E-01    0.571E-02    0.684E-02    0.328E-02    0.566E-03    0.400E-02      1.86    0.199E-05    0.210E-02
  0.0001   30.00   -0.269E+00   -0.451E-04   -0.252E-04    0.508E-01    0.208E-01    0.125E+00    0.350E-01    0.743E-02    0.563E-02    0.247E-02    0.451E-03    0.333E-02      1.84    0.330E-05    0.231E-02
  0.0001   35.00   -0.286E+00   -0.451E-04   -0.255E-04    0.488E-01    0.232E-01    0.142E+00    0.340E-01    0.633E-02    0.665E-02    0.328E-02    0.601E-03    0.286E-02      2.14    0.430E-05    0.155E-04
  0.0001  100.00   -0.379E+00   -0.468E-04   -0.280E-04    0.323E-01    0.328E-01    0.208E+00    0.301E-01    0.208E-02    0.106E-01    0.644E-02    0.119E-02    0.100E-02      2.44    0.817E-05    0.150E-04
  0.0004   13.00   -0.153E+00   -0.429E-04   -0.185E-04    0.718E-01    0.825E-02    0.235E-01    0.923E-02    0.375E-02    0.518E-02    0.242E-02    0.404E-03    0.769E-02      1.37    0.100E-05    0.634E-04
  0.0004   15.00   -0.163E+00   -0.428E-04   -0.198E-04    0.731E-01    0.129E-01    0.320E-01    0.457E-02    0.379E-02    0.739E-02    0.319E-02    0.506E-03    0.667E-02      1.61    0.988E-06    0.617E-04
  0.0004   20.00   -0.212E+00   -0.443E-04   -0.227E-04    0.626E-01    0.148E-01    0.688E-01    0.254E-01    0.827E-02    0.544E-02    0.220E-02    0.376E-03    0.500E-02      1.55    0.919E-06    0.548E-04
  0.0004   25.00   -0.237E+00   -0.443E-04   -0.237E-04    0.562E-01    0.215E-01    0.938E-01    0.251E-01    0.581E-02    0.775E-02    0.369E-02    0.621E-03    0.400E-02      1.93    0.160E-05    0.208E-02
  0.0004   30.00   -0.269E+00   -0.451E-04   -0.248E-04    0.510E-01    0.206E-01    0.125E+00    0.360E-01    0.743E-02    0.552E-02    0.241E-02    0.432E-03    0.333E-02      1.83    0.290E-05    0.230E-02
  0.0004   35.00   -0.289E+00   -0.451E-04   -0.252E-04    0.497E-01    0.234E-01    0.141E+00    0.351E-01    0.640E-02    0.653E-02    0.319E-02    0.572E-03    0.286E-02      2.11    0.390E-05    0.578E-04
  0.0004  100.00   -0.383E+00   -0.469E-04   -0.277E-04    0.368E-01    0.343E-01    0.204E+00    0.323E-01    0.226E-02    0.105E-01    0.625E-02    0.113E-02    0.999E-03      2.39    0.776E-05    0.655E-04
  0.0040   13.00   -0.149E+00   -0.427E-04   -0.126E-04    0.809E-01    0.731E-02    0.198E-01    0.665E-02    0.288E-02    0.397E-02    0.155E-02    0.203E-03    0.784E-02      1.44    0.117E-04    0.564E-03
  0.0040   15.00   -0.170E+00   -0.432E-04   -0.145E-04    0.779E-01    0.111E-01    0.326E-01    0.993E-02    0.403E-02    0.691E-02    0.316E-02    0.458E-03    0.679E-02      1.49    0.115E-04    0.555E-03
  0.0040   20.00   -0.216E+00   -0.442E-04   -0.172E-04    0.686E-01    0.156E-01    0.679E-01    0.252E-01    0.699E-02    0.685E-02    0.276E-02    0.363E-03    0.519E-02      1.57    0.108E-04    0.477E-03
  0.0040   25.00   -0.246E+00   -0.443E-04   -0.185E-04    0.622E-01    0.230E-01    0.936E-01    0.247E-01    0.509E-02    0.914E-02    0.460E-02    0.678E-03    0.419E-02      1.92    0.102E-04    0.190E-02
  0.0040   30.00   -0.283E+00   -0.452E-04   -0.197E-04    0.555E-01    0.195E-01    0.126E+00    0.423E-01    0.818E-02    0.507E-02    0.203E-02    0.288E-03    0.349E-02      1.75    0.977E-05    0.211E-02
  0.0040   35.00   -0.295E+00   -0.451E-04   -0.202E-04    0.505E-01    0.251E-01    0.143E+00    0.380E-01    0.605E-02    0.682E-02    0.316E-02    0.465E-03    0.302E-02      2.10    0.954E-05    0.457E-03
  0.0040  100.00   -0.381E+00   -0.468E-04   -0.233E-04    0.229E-01    0.469E-01    0.209E+00    0.211E-01    0.750E-03    0.137E-01    0.762E-02    0.115E-02    0.113E-02      2.44    0.839E-05    0.485E-03
  0.0080   13.00   -0.150E+00   -0.427E-04   -0.656E-05    0.882E-01    0.662E-02    0.179E-01    0.602E-02    0.237E-02    0.403E-02    0.149E-02    0.125E-03    0.806E-02      1.44    0.244E-04    0.109E-02
  0.0080   15.00   -0.172E+00   -0.433E-04   -0.821E-05    0.840E-01    0.104E-01    0.305E-01    0.993E-02    0.347E-02    0.708E-02    0.327E-02    0.400E-03    0.705E-02      1.48    0.238E-04    0.104E-02
  0.0080   20.00   -0.219E+00   -0.442E-04   -0.111E-04    0.735E-01    0.160E-01    0.658E-01    0.244E-01    0.628E-02    0.786E-02    0.308E-02    0.311E-03    0.538E-02      1.58    0.224E-04    0.905E-03
