#    Z       m        H              D           He3            He4          C12       O16            Ne20       Mg24          Si28        S32           Ca40         Fe56         Mrem     C13s           N14s
  0.0000   13.00   -0.154E+00   -0.422E-04   -0.223E-04    0.908E-01    0.570E-02    0.346E-01    0.118E-02    0.663E-02    0.618E-02    0.182E-02    0.225E-03    0.538E-02      1.57    0.645E-08    0.141E-03
  0.0000   15.00   -0.173E+00   -0.433E-04   -0.234E-04    0.702E-01    0.115E-01    0.515E-01    0.218E-01    0.455E-02    0.488E-02    0.213E-02    0.294E-03    0.467E-02      1.48    0.414E-08    0.124E-03
  0.0000   18.00   -0.215E+00   -0.436E-04   -0.245E-04    0.762E-01    0.122E-01    0.767E-01    0.274E-01    0.872E-02    0.644E-02    0.226E-02    0.244E-03    0.389E-02      1.65    0.146E-09    0.105E-04
  0.0000   20.00   -0.251E+00   -0.440E-04   -0.242E-04    0.700E-01    0.106E-01    0.105E+00    0.456E-01    0.750E-02    0.497E-02    0.266E-02    0.311E-03    0.350E-02      1.66    0.570E-09    0.271E-05
  0.0000   25.00   -0.271E+00   -0.443E-04   -0.183E-04    0.926E-01    0.118E-01    0.112E+00    0.213E-01    0.480E-02    0.140E-01    0.740E-02    0.992E-03    0.280E-02      1.92    0.588E-09    0.236E-04
  0.0000   30.00   -0.310E+00   -0.447E-04   -0.201E-04    0.868E-01    0.113E-01    0.160E+00    0.284E-01    0.757E-02    0.827E-02    0.387E-02    0.580E-03    0.233E-02      2.07    0.340E-09    0.547E-07
  0.0000   40.00   -0.348E+00   -0.445E-04   -0.263E-04    0.678E-01    0.107E-01    0.210E+00    0.767E-02    0.119E-01    0.258E-01    0.932E-02    0.932E-03    0.176E-02      2.89    0.805E-10    0.147E-07
  0.0000  100.00   -0.416E+00   -0.443E-04   -0.373E-04    0.337E-01    0.975E-02    0.298E+00    0.000E+00    0.198E-01    0.572E-01    0.192E-01    0.157E-02    0.714E-03      7.81    0.000E+00    0.000E+00
  0.0001   13.00   -0.155E+00   -0.422E-04   -0.215E-04    0.901E-01    0.594E-02    0.350E-01    0.157E-02    0.645E-02    0.625E-02    0.192E-02    0.237E-03    0.541E-02      1.58    0.117E-05    0.192E-03
  0.0001   15.00   -0.173E+00   -0.433E-04   -0.227E-04    0.754E-01    0.109E-01    0.483E-01    0.209E-01    0.451E-02    0.468E-02    0.202E-02    0.274E-03    0.467E-02      1.48    0.235E-06    0.131E-03
  0.0001   18.00   -0.215E+00   -0.436E-04   -0.238E-04    0.822E-01    0.117E-01    0.711E-01    0.257E-01    0.816E-02    0.666E-02    0.247E-02    0.263E-03    0.389E-02      1.65    0.272E-06    0.293E-04
  0.0001   20.00   -0.252E+00   -0.440E-04   -0.236E-04    0.701E-01    0.101E-01    0.106E+00    0.442E-01    0.794E-02    0.510E-02    0.267E-02    0.324E-03    0.350E-02      1.68   -0.310E-07    0.617E-04
