#   Z           m      H            D             He3        He4              C12     O16             Ne20     Mg24             Si28      S32        Ca40           Fe56      Mrem    C13s        N14s
  0.0000   10.00   -0.126E+00   -0.418E-04   -0.194E-04    0.109E+00    0.339E-02   0.353E-02    0.128E-02    0.176E-03    0.217E-02    0.215E-02    0.227E-03    0.340E-02     1.29    0.702E-07    0.998E-07
  0.0000   13.00   -0.179E+00   -0.419E-04   -0.206E-04    0.773E-01    0.389E-02   0.977E-02    0.663E-04    0.122E-03    0.376E-02    0.409E-02    0.368E-03    0.125E-02     1.63    0.158E-06    0.908E-07
  0.0000   15.00   -0.107E+00   -0.383E-04   -0.188E-04    0.913E-01    0.305E-02   0.813E-02    0.247E-02    0.429E-03    0.331E-03    0.253E-03    0.256E-04    0.341E-03     3.00    0.740E-07    0.687E-07
  0.0000   20.00   -0.993E-01   -0.351E-04   -0.176E-04    0.908E-01    0.205E-02   0.487E-02    0.905E-03    0.183E-03    0.670E-04    0.484E-04    0.600E-05    0.930E-04     5.36    0.820E-07    0.585E-06
  0.0000   25.00   -0.101E+00   -0.327E-04   -0.170E-04    0.913E-01    0.181E-02   0.612E-02    0.532E-03    0.295E-03    0.896E-04    0.373E-04    0.390E-05    0.648E-04     7.97    0.584E-05    0.395E-03
  0.0000   35.00   -0.422E-01   -0.233E-04   -0.118E-04    0.413E-01    0.129E-03   0.603E-03    0.863E-04    0.163E-04    0.134E-05    0.503E-06    0.666E-07    0.112E-05    18.02    0.303E-08    0.218E-08
  0.0000   50.00   -0.218E+00   -0.347E-04   -0.191E-04    0.125E+00    0.183E-01   0.652E-01    0.500E-02    0.506E-03    0.732E-04    0.476E-04    0.636E-05    0.124E-03    13.87    0.125E-03    0.210E-02
  0.0000   75.00   -0.202E+00   -0.307E-04   -0.170E-04    0.155E+00    0.117E-01   0.267E-01    0.404E-02    0.119E-02    0.156E-03    0.573E-04    0.657E-05    0.484E-04    26.98    0.393E-03    0.268E-02
  0.0000  100.00   -0.190E+00   -0.296E-04   -0.163E-04    0.128E+00    0.400E-02   0.518E-01    0.410E-02    0.884E-03    0.534E-03    0.149E-03    0.123E-04    0.908E-05    38.35    0.107E-07    0.224E-07
  0.0001   10.00   -0.126E+00   -0.418E-04   -0.193E-04    0.109E+00    0.339E-02   0.347E-02    0.127E-02    0.168E-03    0.216E-02    0.214E-02    0.224E-03    0.338E-02     1.29    0.282E-06    0.621E-05
  0.0001   13.00   -0.179E+00   -0.419E-04   -0.205E-04    0.774E-01    0.390E-02   0.978E-02    0.839E-04    0.119E-03    0.375E-02    0.407E-02    0.366E-03    0.125E-02     1.63    0.377E-06    0.924E-05
  0.0001   15.00   -0.107E+00   -0.384E-04   -0.187E-04    0.914E-01    0.307E-02   0.823E-02    0.248E-02    0.435E-03    0.349E-03    0.261E-03    0.252E-04    0.377E-03     2.99    0.303E-06    0.985E-05
  0.0001   20.00   -0.998E-01   -0.351E-04   -0.175E-04    0.908E-01    0.209E-02   0.516E-02    0.978E-03    0.192E-03    0.111E-03    0.812E-04    0.740E-05    0.123E-03     5.34    0.276E-06    0.955E-05
  0.0001   25.00   -0.101E+00   -0.327E-04   -0.169E-04    0.914E-01    0.187E-02   0.652E-02    0.597E-03    0.301E-03    0.140E-03    0.619E-04    0.482E-05    0.111E-03     7.94    0.596E-05    0.403E-03
  0.0001   35.00   -0.435E-01   -0.234E-04   -0.117E-04    0.415E-01    0.176E-03   0.138E-02    0.277E-03    0.419E-04    0.268E-04    0.170E-04    0.912E-06    0.265E-04    17.94    0.158E-06    0.108E-04
  0.0001   50.00   -0.218E+00   -0.347E-04   -0.191E-04    0.125E+00    0.184E-01   0.658E-01    0.511E-02    0.530E-03    0.920E-04    0.566E-04    0.621E-05    0.151E-03    13.81    0.124E-03    0.210E-02
  0.0001   75.00   -0.203E+00   -0.308E-04   -0.170E-04    0.155E+00    0.122E-01   0.268E-01    0.405E-02    0.118E-02    0.170E-03    0.650E-04    0.622E-05    0.639E-04    26.86    0.391E-03    0.268E-02
  0.0001  100.00   -0.191E+00   -0.297E-04   -0.163E-04    0.129E+00    0.446E-02   0.517E-01    0.411E-02    0.881E-03    0.537E-03    0.150E-03    0.116E-04    0.197E-04    38.17    0.625E-07    0.169E-04
  0.0004   10.00   -0.125E+00   -0.418E-04   -0.189E-04    0.108E+00    0.340E-02   0.331E-02    0.125E-02    0.143E-03    0.212E-02    0.210E-02    0.216E-03    0.333E-02     1.29    0.919E-06    0.245E-04
  0.0004   13.00   -0.178E+00   -0.419E-04   -0.201E-04    0.778E-01    0.391E-02   0.980E-02    0.137E-03    0.112E-03    0.372E-02    0.402E-02    0.357E-03    0.127E-02     1.63    0.103E-05    0.367E-04
  0.0004   15.00   -0.108E+00   -0.384E-04   -0.184E-04    0.915E-01    0.312E-02   0.850E-02    0.250E-02    0.450E-03    0.403E-03    0.285E-03    0.239E-04    0.486E-03     2.97    0.991E-06    0.391E-04
  0.0004   20.00   -0.102E+00   -0.353E-04   -0.173E-04    0.910E-01    0.220E-02   0.603E-02    0.120E-02    0.220E-03    0.245E-03    0.180E-03    0.116E-04    0.211E-03     5.29    0.855E-06    0.364E-04
  0.0004   25.00   -0.103E+00   -0.329E-04   -0.167E-04    0.916E-01    0.202E-02   0.773E-02    0.793E-03    0.319E-03    0.290E-03    0.136E-03    0.756E-05    0.248E-03     7.86    0.632E-05    0.424E-03
