#    Z       m        H              D           He3            He4          C12                 O16            Ne20       Mg24          Si28        S32           Ca40         Fe56         Mrem     C13s           N14s
  0.0000   11.00   -0.107E+00   -0.422E-04   -0.226E-04    0.102E+00    0.273E-02    0.000E+00    0.499E-02    0.364E-04    0.364E-03    0.273E-03    0.391E-04    0.000E+00    1.34    0.909E-10    0.205E-08
  0.0000   12.00   -0.116E+00   -0.424E-04   -0.230E-04    0.990E-01    0.313E-02    0.575E-02    0.361E-02    0.775E-03    0.199E-02    0.775E-03    0.120E-03    0.000E+00    1.41    0.213E-09    0.232E-08
  0.0000   13.00   -0.124E+00   -0.425E-04   -0.233E-04    0.967E-01    0.578E-02    0.106E-01    0.244E-02    0.140E-02    0.337E-02    0.120E-02    0.188E-03    0.105E-06    1.48    0.392E-09    0.253E-08
  0.0000   14.00   -0.131E+00   -0.427E-04   -0.236E-04    0.948E-01    0.829E-02    0.154E-01    0.144E-02    0.194E-02    0.455E-02    0.156E-02    0.247E-03    0.207E-06    1.55    0.714E-09    0.272E-08
  0.0000   15.00   -0.137E+00   -0.428E-04   -0.238E-04    0.931E-01    0.104E-01    0.194E-01    0.564E-03    0.240E-02    0.557E-02    0.188E-02    0.298E-03    0.296E-06    1.62    0.100E-08    0.288E-08
  0.0000   16.00   -0.148E+00   -0.431E-04   -0.241E-04    0.922E-01    0.116E-01    0.262E-01    0.441E-02    0.304E-02    0.557E-02    0.190E-02    0.306E-03    0.235E-06    1.64    0.763E-09    0.291E-08
  0.0000   17.00   -0.158E+00   -0.433E-04   -0.244E-04    0.907E-01    0.125E-01    0.322E-01    0.782E-02    0.360E-02    0.556E-02    0.192E-02    0.312E-03    0.181E-06    1.66    0.550E-09    0.292E-08
  0.0000   20.00   -0.183E+00   -0.439E-04   -0.250E-04    0.882E-01    0.149E-01    0.466E-01    0.159E-01    0.494E-02    0.555E-02    0.197E-02    0.327E-03    0.520E-07    1.72    0.438E-10    0.297E-08
  0.0000   25.00   -0.595E+00   -0.450E-04   -0.260E-04    0.796E-01    0.176E-01    0.788E-01    0.248E-01    0.369E-02    0.636E-02    0.234E-02    0.323E-03    0.172E-06    1.58    0.376E-04    0.480E-03
  0.0000   30.00   -0.586E+00   -0.450E-04   -0.263E-04    0.781E-01    0.233E-01    0.990E-01    0.120E-01    0.443E-02    0.107E-01    0.447E-02    0.637E-03    0.490E-06    1.86    0.947E-05    0.587E-03
  0.0000   35.00   -0.384E+00   -0.457E-04   -0.268E-04    0.701E-01    0.177E-01    0.124E+00    0.394E-01    0.609E-02    0.489E-02    0.223E-02    0.357E-03    0.208E-06    1.70    0.245E-04    0.791E-03
  0.0000   40.00   -0.358E+00   -0.458E-04   -0.270E-04    0.714E-01    0.224E-01    0.144E+00    0.333E-01    0.522E-02    0.655E-02    0.300E-02    0.487E-03    0.155E-06    1.85    0.143E-04    0.462E-03
  0.0000   50.00   -0.320E+00   -0.459E-04   -0.272E-04    0.711E-01    0.288E-01    0.172E+00    0.244E-01    0.404E-02    0.888E-02    0.408E-02    0.670E-03    0.814E-07    2.16    0.157E-08    0.128E-06
  0.0000   60.00   -0.343E+00   -0.462E-04   -0.274E-04    0.684E-01    0.295E-01    0.197E+00    0.222E-01    0.428E-02    0.948E-02    0.443E-02    0.725E-03    0.118E-06    2.25    0.110E-08    0.108E-06
  0.0000   80.00   -0.371E+00   -0.465E-04   -0.277E-04    0.637E-01    0.304E-01    0.227E+00    0.194E-01    0.458E-02    0.102E-01    0.489E-02    0.793E-03    0.165E-06    2.44    0.509E-09    0.829E-07
  0.0000  100.00   -0.388E+00   -0.467E-04   -0.279E-04    0.609E-01    0.309E-01    0.246E+00    0.177E-01    0.475E-02    0.107E-01    0.516E-02    0.833E-03    0.193E-06    2.63    0.156E-09    0.678E-07
  0.0001   11.00   -0.108E+00   -0.422E-04   -0.224E-04    0.102E+00    0.273E-02    0.595E-04    0.500E-02    0.411E-04    0.379E-03    0.275E-03    0.378E-04    0.624E-05    1.34    0.262E-06    0.131E-04
  0.0001   12.00   -0.117E+00   -0.424E-04   -0.228E-04    0.989E-01    0.315E-02    0.580E-02    0.362E-02    0.772E-03    0.202E-02    0.800E-03    0.122E-03    0.757E-05    1.41    0.257E-06    0.141E-04
  0.0001   13.00   -0.125E+00   -0.425E-04   -0.231E-04    0.966E-01    0.581E-02    0.107E-01    0.245E-02    0.139E-02    0.340E-02    0.121E-02    0.188E-03    0.602E-04    1.48    0.253E-06    0.138E-04
  0.0001   14.00   -0.132E+00   -0.427E-04   -0.234E-04    0.947E-01    0.834E-02    0.155E-01    0.145E-02    0.194E-02    0.458E-02    0.157E-02    0.246E-03    0.567E-04    1.55    0.250E-06    0.131E-04
  0.0001   15.00   -0.138E+00   -0.428E-04   -0.237E-04    0.930E-01    0.104E-01    0.195E-01    0.606E-03    0.241E-02    0.559E-02    0.188E-02    0.297E-03    0.627E-04    1.62    0.245E-06    0.128E-04
  0.0001   16.00   -0.149E+00   -0.431E-04   -0.240E-04    0.920E-01    0.116E-01    0.263E-01    0.446E-02    0.304E-02    0.560E-02    0.191E-02    0.304E-03    0.415E-04    1.64    0.255E-06    0.120E-04
  0.0001   17.00   -0.159E+00   -0.433E-04   -0.242E-04    0.906E-01    0.126E-01    0.323E-01    0.788E-02    0.360E-02    0.559E-02    0.193E-02    0.311E-03    0.428E-04    1.66    0.241E-06    0.116E-04
  0.0001   20.00   -0.182E+00   -0.439E-04   -0.249E-04    0.881E-01    0.149E-01    0.467E-01    0.161E-01    0.496E-02    0.555E-02    0.197E-02    0.326E-03    0.988E-05    1.72    0.228E-06    0.102E-04
  0.0001   25.00   -0.594E+00   -0.450E-04   -0.259E-04    0.795E-01    0.176E-01    0.788E-01    0.249E-01    0.371E-02    0.636E-02    0.234E-02    0.322E-03    0.221E-04    1.58    0.376E-04    0.487E-03
  0.0001   30.00   -0.585E+00   -0.450E-04   -0.261E-04    0.780E-01    0.233E-01    0.993E-01    0.121E-01    0.446E-02    0.107E-01    0.446E-02    0.635E-03    0.115E-04    1.86    0.961E-05    0.594E-03
  0.0001   35.00   -0.384E+00   -0.457E-04   -0.267E-04    0.700E-01    0.178E-01    0.124E+00    0.394E-01    0.611E-02    0.488E-02    0.223E-02    0.355E-03    0.714E-05    1.70    0.245E-04    0.803E-03
  0.0001   40.00   -0.357E+00   -0.458E-04   -0.268E-04    0.712E-01    0.225E-01    0.144E+00    0.333E-01    0.524E-02    0.655E-02    0.300E-02    0.486E-03    0.909E-05    1.85    0.143E-04    0.478E-03
  0.0001   50.00   -0.320E+00   -0.459E-04   -0.271E-04    0.710E-01    0.290E-01    0.172E+00    0.244E-01    0.405E-02    0.888E-02    0.408E-02    0.666E-03    0.837E-05    2.16    0.742E-07    0.201E-04
  0.0001   60.00   -0.342E+00   -0.462E-04   -0.273E-04    0.682E-01    0.297E-01    0.197E+00    0.222E-01    0.429E-02    0.948E-02    0.443E-02    0.721E-03    0.798E-05    2.25    0.274E-07    0.213E-04
  0.0001   80.00   -0.370E+00   -0.465E-04   -0.276E-04    0.636E-01    0.305E-01    0.227E+00    0.194E-01    0.458E-02    0.102E-01    0.487E-02    0.788E-03    0.148E-04    2.44   -0.293E-08    0.214E-04
  0.0001  100.00   -0.387E+00   -0.467E-04   -0.278E-04    0.608E-01    0.310E-01    0.246E+00    0.178E-01    0.476E-02    0.107E-01    0.515E-02    0.829E-03    0.228E-04    2.63   -0.762E-08    0.210E-04
  0.0004   11.00   -0.108E+00   -0.421E-04   -0.218E-04    0.102E+00    0.277E-02    0.238E-03    0.504E-02    0.556E-04    0.423E-03    0.282E-03    0.338E-04    0.249E-04    1.34    0.105E-05    0.525E-04
  0.0004   12.00   -0.117E+00   -0.423E-04   -0.223E-04    0.993E-01    0.322E-02    0.596E-02    0.364E-02    0.762E-03    0.212E-02    0.880E-03    0.125E-03    0.303E-04    1.41    0.103E-05    0.568E-04
  0.0004   13.00   -0.126E+00   -0.425E-04   -0.226E-04    0.970E-01    0.590E-02    0.108E-01    0.245E-02    0.138E-02    0.348E-02    0.124E-02    0.187E-03    0.240E-03    1.48    0.101E-05    0.553E-04
  0.0004   14.00   -0.133E+00   -0.427E-04   -0.229E-04    0.950E-01    0.838E-02    0.157E-01    0.151E-02    0.196E-02    0.466E-02    0.159E-02    0.243E-03    0.226E-03    1.55    0.997E-06    0.526E-04
  0.0004   15.00   -0.138E+00   -0.428E-04   -0.232E-04    0.933E-01    0.105E-01    0.198E-01    0.733E-03    0.244E-02    0.566E-02    0.190E-02    0.293E-03    0.250E-03    1.62    0.976E-06    0.510E-04
  0.0004   16.00   -0.149E+00   -0.431E-04   -0.235E-04    0.923E-01    0.117E-01    0.266E-01    0.462E-02    0.304E-02    0.568E-02    0.193E-02    0.301E-03    0.165E-03    1.64    0.102E-05    0.478E-04
  0.0004   17.00   -0.159E+00   -0.433E-04   -0.238E-04    0.908E-01    0.126E-01    0.326E-01    0.812E-02    0.362E-02    0.565E-02    0.194E-02    0.307E-03    0.171E-03    1.66    0.960E-06    0.466E-04
  0.0004   20.00   -0.182E+00   -0.439E-04   -0.244E-04    0.882E-01    0.149E-01    0.471E-01    0.166E-01    0.502E-02    0.559E-02    0.199E-02    0.322E-03    0.393E-04    1.72    0.913E-06    0.409E-04
  0.0004   25.00   -0.589E+00   -0.450E-04   -0.255E-04    0.795E-01    0.176E-01    0.794E-01    0.253E-01    0.377E-02    0.639E-02    0.234E-02    0.317E-03    0.877E-04    1.58    0.376E-04    0.508E-03
  0.0004   30.00   -0.581E+00   -0.450E-04   -0.257E-04    0.779E-01    0.234E-01    0.998E-01    0.127E-01    0.450E-02    0.107E-01    0.442E-02    0.622E-03    0.445E-04    1.86    0.100E-04    0.614E-03
  0.0004   35.00   -0.383E+00   -0.456E-04   -0.263E-04    0.697E-01    0.181E-01    0.125E+00    0.397E-01    0.611E-02    0.490E-02    0.222E-02    0.347E-03    0.280E-04    1.71    0.247E-04    0.838E-03
  0.0004   40.00   -0.357E+00   -0.458E-04   -0.264E-04    0.708E-01    0.229E-01    0.144E+00    0.335E-01    0.524E-02    0.654E-02    0.299E-02    0.475E-03    0.359E-04    1.85    0.146E-04    0.526E-03
  0.0004   50.00   -0.321E+00   -0.459E-04   -0.267E-04    0.726E-01    0.293E-01    0.171E+00    0.246E-01    0.407E-02    0.885E-02    0.405E-02    0.654E-03    0.333E-04    2.16    0.292E-06    0.803E-04
  0.0004   60.00   -0.343E+00   -0.462E-04   -0.269E-04    0.695E-01    0.301E-01    0.195E+00    0.223E-01    0.430E-02    0.946E-02    0.439E-02    0.707E-03    0.315E-04    2.25    0.106E-06    0.849E-04
  0.0004   80.00   -0.371E+00   -0.465E-04   -0.273E-04    0.644E-01    0.308E-01    0.226E+00    0.196E-01    0.462E-02    0.102E-01    0.485E-02    0.777E-03    0.587E-04    2.44   -0.107E-07    0.855E-04
  0.0004  100.00   -0.388E+00   -0.467E-04   -0.275E-04    0.624E-01    0.313E-01    0.244E+00    0.179E-01    0.481E-02    0.107E-01    0.512E-02    0.817E-03    0.908E-04    2.63   -0.310E-07    0.836E-04
  0.0040   11.00   -0.116E+00   -0.419E-04   -0.152E-04    0.105E+00    0.310E-02    0.239E-02    0.548E-02    0.230E-03    0.954E-03    0.364E-03   -0.140E-04    0.249E-03    1.37    0.105E-04    0.526E-03
  0.0040   12.00   -0.126E+00   -0.422E-04   -0.159E-04    0.103E+00    0.405E-02    0.782E-02    0.394E-02    0.644E-03    0.325E-02    0.179E-02    0.170E-03    0.303E-03    1.43    0.103E-04    0.568E-03
  0.0040   13.00   -0.135E+00   -0.424E-04   -0.164E-04    0.100E+00    0.695E-02    0.130E-01    0.262E-02    0.122E-02    0.451E-02    0.161E-02    0.168E-03    0.240E-02    1.49    0.101E-04    0.553E-03
  0.0040   14.00   -0.143E+00   -0.426E-04   -0.169E-04    0.976E-01    0.918E-02    0.189E-01    0.214E-02    0.219E-02    0.558E-02    0.179E-02    0.203E-03    0.226E-02    1.55    0.997E-05    0.526E-03
  0.0040   15.00   -0.150E+00   -0.427E-04   -0.173E-04    0.959E-01    0.111E-01    0.233E-01    0.224E-02    0.279E-02    0.641E-02    0.206E-02    0.245E-03    0.250E-02    1.61    0.975E-05    0.510E-03
  0.0040   16.00   -0.161E+00   -0.430E-04   -0.178E-04    0.950E-01    0.128E-01    0.300E-01    0.650E-02    0.307E-02    0.672E-02    0.223E-02    0.260E-03    0.165E-02    1.63    0.102E-04    0.477E-03
  0.0040   17.00   -0.171E+00   -0.432E-04   -0.181E-04    0.931E-01    0.133E-01    0.357E-01    0.110E-01    0.375E-02    0.638E-02    0.215E-02    0.264E-03    0.171E-02    1.65    0.960E-05    0.466E-03
  0.0040   20.00   -0.195E+00   -0.438E-04   -0.190E-04    0.884E-01    0.149E-01    0.519E-01    0.221E-01    0.554E-02    0.580E-02    0.218E-02    0.269E-03    0.392E-03    1.71    0.912E-05    0.409E-03
  0.0040   25.00   -0.531E+00   -0.448E-04   -0.203E-04    0.779E-01    0.184E-01    0.844E-01    0.299E-01    0.452E-02    0.666E-02    0.241E-02    0.266E-03    0.877E-03    1.62    0.384E-04    0.758E-03
  0.0040   30.00   -0.529E+00   -0.449E-04   -0.208E-04    0.748E-01    0.241E-01    0.106E+00    0.192E-01    0.518E-02    0.104E-01    0.411E-02    0.502E-03    0.439E-03    1.86    0.151E-04    0.864E-03
  0.0040   35.00   -0.368E+00   -0.455E-04   -0.214E-04    0.680E-01    0.215E-01    0.127E+00    0.414E-01    0.634E-02    0.510E-02    0.212E-02    0.247E-03    0.277E-03    1.75    0.266E-04    0.126E-02
  0.0040   40.00   -0.350E+00   -0.456E-04   -0.217E-04    0.737E-01    0.274E-01    0.141E+00    0.347E-01    0.548E-02    0.653E-02    0.280E-02    0.369E-03    0.356E-03    1.89    0.170E-04    0.110E-02
  0.0040   50.00   -0.325E+00   -0.458E-04   -0.221E-04    0.777E-01    0.336E-01    0.164E+00    0.262E-01    0.440E-02    0.854E-02    0.370E-02    0.513E-03    0.331E-03    2.16    0.291E-05    0.802E-03
  0.0040   60.00   -0.345E+00   -0.461E-04   -0.226E-04    0.779E-01    0.348E-01    0.183E+00    0.233E-01    0.449E-02    0.913E-02    0.401E-02    0.555E-03    0.313E-03    2.26    0.105E-05    0.848E-03
  0.0040   80.00   -0.371E+00   -0.463E-04   -0.233E-04    0.745E-01    0.352E-01    0.211E+00    0.214E-01    0.498E-02    0.991E-02    0.449E-02    0.639E-03    0.586E-03    2.44   -0.112E-06    0.854E-03
